High,Volume,Date
72.68127355425736,135480400,2020-01-02
72.67643886208242,146322800,2020-01-03
72.52653323692198,118387200,2020-01-06
72.75382346407903,108872000,2020-01-07
73.60975223726805,132079200,2020-01-08
75.058058615668,170108400,2020-01-09
75.59966347515947,140644800,2020-01-10
76.66351755996668,121532000,2020-01-13
76.78444070588084,161954400,2020-01-14
76.28392794287467,121923600,2020-01-15
76.33227394816954,108829200,2020-01-16
77.06730085653118,137816400,2020-01-17
77.1350000250309,110843200,2020-01-21
77.36952169211204,101832400,2020-01-22
77.26556997023165,104472000,2020-01-23
78.17710300745777,146537600,2020-01-24
75.38203764467593,161940000,2020-01-27
76.98509775416542,162234000,2020-01-28
79.27001725627908,216229200,2020-01-29
78.36087174184341,126743200,2020-01-30
78.01993693561123,199588400,2020-01-31
75.79789528359555,173788400,2020-02-03
77.2849243200521,136616400,2020-02-04
78.5228804217208,118826800,2020-02-05
78.63407306645281,105425600,2020-02-06
78.3796223944295,117684000,2020-02-07
77.9312515258789,109348800,2020-02-10
78.50078345731488,94323200,2020-02-11
79.30545033637647,113730400,2020-02-12
79.06307473499535,94747600,2020-02-13
79.00490364230242,80113600,2020-02-14
77.49500334449696,152531200,2020-02-18
78.6631837418977,93984000,2020-02-19
78.68256868592816,100566000,2020-02-20
77.66464882542346,129554000,2020-02-21
73.72142482703582,222195200,2020-02-24
73.32155060377019,230673600,2020-02-25
72.19456919203475,198054800,2020-02-26
69.31531263503878,320605600,2020-02-27
67.4757902084099,426510000,2020-02-28
73.05734046709884,341397200,2020-03-02
73.6778022281249,319475600,2020-03-03
73.53238817702517,219178400,2020-03-04
72.59931887007787,187572800,2020-03-05
70.4834806861114,226176800,2020-03-06
67.39823435621751,286744800,2020-03-09
69.42194089429611,285290000,2020-03-10
68.15680559462812,255598800,2020-03-11
65.43751165247654,418474000,2020-03-12
67.84175558934598,370732000,2020-03-13
62.79093319087167,322423600,2020-03-16
62.43466692909921,324056000,2020-03-17
60.59029684026707,300233600,2020-03-18
61.278603044823406,271857200,2020-03-19
61.033826561579104,401693200,2020-03-20
55.379534953760505,336752800,2020-03-23
60.03044895212406,287531200,2020-03-24
62.5897733176163,303602000,2020-03-25
62.6940018839561,252087200,2020-03-26
62.012966292537286,204216800,2020-03-27
61.92813964643738,167976400,2020-03-30
63.61737705341185,197002000,2020-03-31
60.28008580485976,176218400,2020-04-01
59.41485006682693,165934000,2020-04-02
59.54814697291925,129880000,2020-04-03
63.76764851271487,201820400,2020-04-06
65.84953953078768,202887200,2020-04-07
64.80011298883151,168895200,2020-04-08
65.45448618898067,161834800,2020-04-09
66.33426997710056,131022800,2020-04-13
