Close,High,Low,Open,Volume,Target
117.35289001464844,118.02598131332324,115.2555592898168,116.00669253232006,91183000,1
196.52085876464844,196.56056130389416,193.43346752411227,193.6717130553052,70404200,0
177.07821655273438,177.6135787817926,174.31215063473297,175.8587694385985,51449600,0
77.49578094482422,77.57840592683334,76.6354977307433,76.73756083121987,81803200,1
109.3406982421875,109.49651327893982,104.85137965372228,105.591486218956,149981400,1
146.36187744140625,149.3440325752995,145.34812731297455,147.5330747402819,74286600,0
115.9042739868164,118.36804952245832,115.69977228869678,118.10511346082514,115393800,1
230.9681091308593,231.3069145139278,229.0349022193022,230.78874694170784,34082200,0
58.70230484008789,62.79093319087167,58.1666849886367,58.63928856454173,322423600,1
73.3075180053711,73.60975223726805,71.84954036585081,71.84954036585081,132079200,1
145.74713134765625,147.3982909462784,145.17367228142913,145.39119175781394,50547000,1
215.7410430908203,216.4974998735104,210.933524598722,211.10273143743845,60402900,0
186.7403106689453,188.106635570632,185.185866819052,187.3838611793616,59922200,0
148.25950622558594,148.49644255294848,145.05106689456673,146.23573346771818,51804100,0
134.2016143798828,135.53434166770566,132.4147629011091,133.1058083537203,63646600,0
112.34854125976562,113.01188278583412,109.83174481299208,111.11941434226163,113874200,1
142.52606201171875,143.4166088320994,141.48872832316107,141.5963770040042,56699500,1
168.28366088867188,171.67319360904702,168.0947990703537,168.56197877866052,50383100,1
194.50259399414065,194.54220593555127,193.3243880114047,194.1164606567971,38824100,0
85.47647857666016,85.89446863409366,84.86650277346662,85.39871125985869,96820400,0
72.14694213867188,72.75382346407903,71.92691473047077,72.49752942348555,108872000,1
173.4099884033203,173.94535074695764,171.19910182632682,172.299583153516,48527900,0
130.40455627441406,133.91185238072063,129.3982891326952,133.3256706891164,151101000,1
169.00718688964844,169.31145435336728,165.06148967296951,165.95467253383114,106765600,0
150.65280151367188,152.134884350233,148.19901305641005,148.20882281861407,88807000,0
69.15534210205078,69.42194089429611,65.28483354397228,67.1679847520732,285290000,1
76.09842681884766,77.40585342154391,76.0668333890782,76.55772557449362,101729600,1
225.2863922119141,225.3958807735831,220.618221554563,220.618221554563,60412400,0
170.36428833007812,171.49298697857782,169.77023004875,171.44347960387887,37266700,0
147.6592254638672,148.76834300613436,147.38440226384824,148.6112968984832,55020900,1
183.79405212402344,183.80397397190293,181.40156892129536,182.58292017691045,42841800,0
145.9610137939453,146.37204690308326,144.52244270958388,144.93347581872183,127050800,1
187.3739318847656,188.017482278876,185.7402946643157,186.0670100223849,51216800,1
246.1562042236328,246.6450305346601,241.1682365595268,241.2480458688008,44649200,0
174.9060821533203,177.23228437904302,174.79811483502314,176.1526111960713,59773000,0
120.14505004882812,121.97507024694492,119.63617145947644,120.7615847905906,112172300,1
139.98558044433594,141.57331379089658,139.20150923995394,139.63274915010976,74602000,0
110.05159759521484,110.30965976352992,107.41010462326904,107.60486600059996,165598000,0
75.22356414794922,75.28431846247351,73.2769935373758,74.00118763637258,158929200,1
193.44532775878903,194.41081372828987,192.13146492648488,193.73397115741048,47471400,0
152.67234802246094,153.24493285853742,148.71363285221915,148.71363285221915,83322600,0
151.50291442871094,156.4505157277147,151.38464998799563,155.07069875161233,101696800,0
124.1378173828125,124.66627253334184,123.71701091848011,124.24546606900942,56575900,1
228.2377014160156,228.6960967971132,226.3742566041183,226.98212047615,28183500,0
106.0102310180664,109.05829026903427,104.90007487274671,108.15263578946612,190272600,1
115.91397857666016,116.48853715790356,113.81052787994952,114.86224951347042,126387100,1
127.80048370361328,128.51261072501254,125.2836873079933,125.73242467921784,97664900,1
152.06338500976562,156.5349734862068,151.83735301963387,156.1909993742422,96970100,1
226.3842163085937,226.4838721062008,223.10574735994533,225.96568932825608,30602200,0
190.1507263183593,191.02663488992152,188.1301769262196,188.44869465688268,44361300,0
152.23223876953125,154.10482916146404,150.47789777328236,152.4096354211257,84923800,0
138.68203735351562,141.50468713963937,138.46641744180278,140.79902469310844,89056700,1
184.21099853515625,184.2507162227342,180.18051667398524,180.76622380895435,59144500,1
193.2944793701172,193.30440121762783,190.32621099568144,191.67632450221151,52696900,0
133.41513061523438,133.57171323969362,131.4774691683095,131.91784473362776,64556100,1
242.255599975586,244.0413008508573,241.49743440151173,242.325438826628,36870600,1
254.6557159423828,255.0347911495625,252.8400883307868,254.15691915529425,40858800,0
139.17208862304688,139.3190954107542,135.61437481140692,136.69247443763487,83221100,1
223.7434997558593,227.54015139464096,223.11570169720304,226.9920749311584,43695300,0
142.4086151123047,143.8080328596919,142.1443838493398,143.23065133870858,62880000,1
186.0265350341797,187.53741474171235,185.66869550258488,187.28891548830453,41781900,0
162.2445526123047,162.46048727030927,156.96399321031473,157.03270650001684,174048100,0
132.7899169921875,135.88976291691353,132.0198926268116,134.9420475735265,160156900,1
165.9695281982422,166.65746140454794,163.68950386212114,164.4855419291192,86185500,0
120.54703521728516,121.01597906896608,117.4891545867303,117.55754145534942,111912300,1
145.8268585205078,146.0032816187781,144.28813265765052,145.48383770122956,68034100,1
146.13699340820312,146.81817210889182,138.75265175216816,139.59177292691083,111380900,0
108.28898620605467,112.40825587998958,108.19160550747638,112.03820625352358,143937800,1
159.9353485107422,160.04345337346268,149.3804359903009,149.9504420850254,141147500,0
77.34024047851562,78.6015006101808,76.70353646464031,76.9805722755511,133560800,1
188.5889434814453,189.5121752287953,187.874176578012,189.4823945368072,24048300,0
59.325172424316406,61.278603044823406,58.79924908019055,59.95773528488038,271857200,1
124.1867446899414,125.5763892558692,123.61914391415893,125.08707232073915,72009500,1
